Id. Parada,Cod. Via / Cod. Vía,Num. Portal,Suprimida,Denominació / Denominación,Línies / Líneas,Proximas_llegadas,geo_shape,geo_point_2d,geometry,latitud,longitud,hora_descarga
1119.0,24420.0,3,0,Dr. Manuel Candela (imparell) - Port (1119),"30,40",  Natzaret - 5 min.   Est.del Nord - 10 min.   Est.del Nord - 26 min.   Natzaret - 46 min.,"{""coordinates"": [-0.3512720404620183, 39.465908186544326], ""type"": ""Point""}","39.465908186544326, -0.3512720404620183",POINT (-0.3512720404620183 39.46590818654433),39.465908186544326,-0.3512720404620183,16:12:07
880.0,59190.0,34,0,Pintor Salvador Abril - Maties Perelló (880),"14,15,35,6,N9",  Hosp. La Fe - Próximo   Castellar - 2 min.   Hosp. La Fe - 7 min.   C.Arts i Cièn - 7 min.   C.Arts i Cièn - 13 min.   Castellar - 20 min.,"{""coordinates"": [-0.3695048336574347, 39.46172699392093], ""type"": ""Point""}","39.46172699392093, -0.3695048336574347",POINT (-0.3695048336574347 39.46172699392093),39.46172699392093,-0.3695048336574347,16:12:07
1589.0,24300.0,4,0,Drassanes del Grau (1589),"19,92,95",  Est.del Nord - Próximo   Campanar - 10 min.   Est.del Nord - 12 min.   Tres Creus - 13 min.   Campanar - 21 min.   Tres Creus - 29 min.,"{""coordinates"": [-0.3327142592748413, 39.460480402814305], ""type"": ""Point""}","39.460480402814305, -0.3327142592748413",POINT (-0.3327142592748413 39.46048040281431),39.460480402814305,-0.3327142592748413,16:12:07
910.0,,57,0,Glòria (imparell) - Oliveral (910),14,  Cast/La Punta - 2 min.   Cast/La Punta - 38 min.,"{""coordinates"": [-0.36417253901089863, 39.42209802938671], ""type"": ""Point""}","39.42209802938671, -0.36417253901089863",POINT (-0.3641725390108986 39.42209802938671),39.42209802938671,-0.36417253901089863,16:12:07
976.0,15390.0,77,0,Carters (imparell) - Primer de Maig (976),"10,N6",  Benimaclet - 17 min.   Benimaclet - 25 min.,"{""coordinates"": [-0.38938620906084676, 39.44834486776072], ""type"": ""Point""}","39.44834486776072, -0.38938620906084676",POINT (-0.3893862090608468 39.44834486776072),39.44834486776072,-0.38938620906084676,16:12:07
1661.0,81423.0,S/N CARRIL BUS,0,Bioparc (1661),"98,99",  La Malva-rosa - 10 min.   Av. Cid - 16 min.   La Malva-rosa - 17 min.   Av. Cid - 32 min.,"{""coordinates"": [-0.4065909577987962, 39.47646270548368], ""type"": ""Point""}","39.47646270548368, -0.4065909577987962",POINT (-0.4065909577987962 39.47646270548368),39.47646270548368,-0.4065909577987962,16:12:07
2169.0,42390.0,S/N CRUCE EL PALMAR,0,Pinars - Carretera del Palmar (2169),"24,25",  El Perelló - 17 min.   El Palmar - 25 min.   El Perelló - 58 min.,"{""coordinates"": [-0.31972033828482166, 39.34139785704378], ""type"": ""Point""}","39.34139785704378, -0.31972033828482166",POINT (-0.3197203382848217 39.34139785704378),39.34139785704378,-0.31972033828482166,16:12:07
2176.0,32880.0,S/N DEVESA GARDEN,0,Càmping la Devesa (2176),25,  El Perelló - 19 min.,"{""coordinates"": [-0.3094238812824255, 39.32296644992034], ""type"": ""Point""}","39.32296644992034, -0.3094238812824255",POINT (-0.3094238812824255 39.32296644992034),39.32296644992034,-0.3094238812824255,16:12:07
2205.0,1560.0,2,0,Albufera - Pl. de la Sequiota (2205),24,  Pta.de la Mar - 49 min.,"{""coordinates"": [-0.31768889018003676, 39.310588171705874], ""type"": ""Point""}","39.310588171705874, -0.31768889018003676",POINT (-0.3176888901800368 39.31058817170587),39.310588171705874,-0.31768889018003676,16:12:07
2266.0,31530.0,52,0,Fra Juníper Serra (parell) - Torrent (2266),73,  Est.del Nord - 4 min.   Est.del Nord - 15 min.,"{""coordinates"": [-0.40056645553385106, 39.46151815674541], ""type"": ""Point""}","39.46151815674541, -0.40056645553385106",POINT (-0.4005664555338511 39.46151815674541),39.46151815674541,-0.40056645553385106,16:12:07
2244.0,73920.0,54 (CARRIL BUS),0,Tres Creus - Arxiduc Carles (2244),99,  La Malva-rosa - 9 min.   La Malva-rosa - 20 min.,"{""coordinates"": [-0.4020442546293329, 39.45720187387452], ""type"": ""Point""}","39.45720187387452, -0.4020442546293329",POINT (-0.4020442546293329 39.45720187387452),39.45720187387452,-0.4020442546293329,16:12:07
2309.0,8040.0,SN (ESTACIÓ),0,Estació del Nord - Bailén (2309),63,  C. Burjassot - 2 min.   Nou Campanar - 3 min.   Nou Campanar - 23 min.   C. Burjassot - 25 min.,"{""coordinates"": [-0.37771202492100137, 39.46724547379315], ""type"": ""Point""}","39.46724547379315, -0.37771202492100137",POINT (-0.3777120249210014 39.46724547379315),39.46724547379315,-0.37771202492100137,16:12:07
2306.0,17160.0,80,0,Democràcia - Conselleries (2306),"73,N4",  Sant Isidre - 4 min.   Sant Isidre - 20 min.,"{""coordinates"": [-0.4028089982171465, 39.47271591004903], ""type"": ""Point""}","39.47271591004903, -0.4028089982171465",POINT (-0.4028089982171465 39.47271591004903),39.47271591004903,-0.4028089982171465,16:12:07
2221.0,17760.0,S/N,0,Plaça de l'Ajuntament - Flors (2221),C1,  Cntr.Històric - Próximo   Cntr.Històric - 14 min.,"{""coordinates"": [-0.3759857441721357, 39.469891869224575], ""type"": ""Point""}","39.469891869224575, -0.3759857441721357",POINT (-0.3759857441721357 39.46989186922458),39.469891869224575,-0.3759857441721357,16:12:07
2219.0,17760.0,21-22,0,Plaça de l'Ajuntament (2219),"11,6,70,8,N10,N2",  Torrefiel - 2 min.   Els Orriols - 4 min.   Alboraia - 5 min.   Pta.de la Mar - 10 min.   Torrefiel - 11 min.   Alboraia - 16 min.   Els Orriols - 17 min.   Pta.de la Mar - 22 min.,"{""coordinates"": [-0.37585510660608973, 39.47019867786519], ""type"": ""Point""}","39.47019867786519, -0.37585510660608973",POINT (-0.3758551066060897 39.47019867786519),39.47019867786519,-0.37585510660608973,16:12:07
2191.0,32880.0,173,0,Gavines (imparell) - Sirena (2191),25,  Pta.de la Mar - 11 min.   Pta.de la Mar - 44 min.,"{""coordinates"": [-0.2869423052493911, 39.29380421333727], ""type"": ""Point""}","39.29380421333727, -0.2869423052493911",POINT (-0.2869423052493911 39.29380421333727),39.29380421333727,-0.2869423052493911,16:12:07
